vendor_id,vendor_name,country,city,website,lei,tax_id,created_date,end_date
V0088,GoldLine Warehousing,UK,Manchester,,,,2023-07-06,2027-07-05
V0089,UrbanPulse Marketing Group,France,Lyon,,,,2022-12-19,2025-12-18
V0090,BeaconHarbor Logistics,UAE,Abu Dhabi,,,,2023-10-15,2026-10-14
V0091,SilverKite Security Services,Singapore,Singapore,,,,2022-08-14,2025-08-13
V0092,CoralBridge Consulting,Spain,Valencia,,,,2023-04-03,2026-04-02
V0093,AmberBridge Procurement,India,Bangalore,,,,2024-01-05,2027-01-04
V0094,ForestEdge Engineering,Germany,Munich,,,,2022-11-16,2025-11-15
V0095,Riverstone Construction Co,United States,Austin,,,,2023-02-24,2026-02-23
V0096,SkyHarbor Marine Supplies,Australia,Sydney,,,,2022-06-30,2025-06-29
V0097,NorthStar Logistics Solutions,Canada,Toronto,,,,2023-12-20,2027-12-19
V0098,EdgeVerve Systems Limited,Banglore,,,,,2022-11-16,2025-11-15
V0099,Google Ireland Limited,Ireland,Dublin,google.com,,IE6388047V,2024-01-01,
V0100,Apple Distribution International Ltd,Ireland,Cork,apple.com,,IE9700053D,2024-01-01,
V0101,Amazon Europe Core,Luxembourg,Luxembourg,amazon.com,,LU26375245,2024-01-01,
